,NOMBRE MUNICIPIO,SECCION,LISTA NOMINAL
195,PUEBLA,1021,534.0
196,PUEBLA,1027,1603.0
197,PUEBLA,1032,1285.0
198,PUEBLA,1037,1071.0
199,PUEBLA,1044,1528.0
200,PUEBLA,1054,1554.0
202,PUEBLA,1069,1359.0
203,PUEBLA,1076,2917.0
204,PUEBLA,1328,1662.0
205,PUEBLA,1365,1777.0
206,PUEBLA,1381,676.0
207,PUEBLA,1406,1298.0
208,PUEBLA,1086,1272.0
209,PUEBLA,1095,717.0
210,PUEBLA,1102,1325.0
211,PUEBLA,1108,319.0
212,PUEBLA,1118,1059.0
213,PUEBLA,1125,1164.0
214,PUEBLA,1131,1606.0
215,PUEBLA,1137,1335.0
216,PUEBLA,1144,802.0
217,PUEBLA,1150,1208.0
218,PUEBLA,1157,1385.0
219,PUEBLA,1167,1071.0
220,PUEBLA,1176,1931.0
223,PUEBLA,1215,1610.0
225,PUEBLA,1226,815.0
226,PUEBLA,1233,1661.0
227,PUEBLA,1239,756.0
228,PUEBLA,1246,2449.0
229,PUEBLA,1253,5895.0
230,PUEBLA,1109,419.0
232,PUEBLA,1260,1953.0
233,PUEBLA,1431,779.0
234,PUEBLA,1439,711.0
235,PUEBLA,1447,1230.0
236,PUEBLA,1453,1923.0
237,PUEBLA,1462,1083.0
238,PUEBLA,1467,1283.0
